,,80300000008,,,,
,,Insee Extra - Puttalam 50kg,,,,
,,Inventory with in transit,Inventory in Transit on send side,Inventory in Transit on receive side,Inventory in Transit,Inventory without in-transit
,,,,,,
,Object Type,CA,BV,BV,,
,Category,EB,VN,ZU,,
,Material,80300000008,80300000008,80300000008,,
,Concatenate,80300000008-CA-EB,80300000008-BV-VN,80300000008-BV-ZU,,
,Procurement category,,Stock Transfer,Stock Transfer,,
,,,,,,
2100,SCCCL Corporate Office, -   , -   , -   , -   , -   
2110,SCCCL Colombo Warehouse, -   , -   , -   , -   , -   
2111,SCCCL Kurunegala Warehouse, -   , -   , -   , -   , -   
2112,SCCCL Trincomalee Warehouse, -   , -   , -   , -   , -   
2113,SCCCL Express Logistics Center, -   , -   , -   , -   , -   
2114,SCCCL Exp. Log. - Kadawatha, 8.0 , -   , 14.0 , (14.0), 22.0 
2115,SCCCL Exp. Log. - Piliyandala, 13.6 , -   , 40.5 , (40.5), 54.1 
2116,SCCCL Exp. Log. - Nuwara Eliya, -   , -   , -   , -   , -   
2117,SCCCL Exp. Log. - Hambanthota, -   , -   , -   , -   , -   
2118,SCCCL Exp. Log. - Kandy, -   , -   , -   , -   , -   
2119,SCCCL Exp. Log. - Badulla, -   , -   , -   , -   , -   
2120,PCW Preload Warehouse, -   , -   , -   , -   , -   
2121,RCW Preload Warehouse, -   , -   , -   , -   , -   
2122,SCCCL Colombo Port, -   , -   , -   , -   , -   
2123,SCCCL Galle Port, -   , -   , -   , -   , -   
2124,SCCCL Trinco Port, -   , -   , -   , -   , -   
2125,GCT Preload Plant, -   , -   , -   , -   , -   
2126,SCCCL Colombo Virtual WH, -   , -   , -   , -   , -   
2127,SCCCL Hambanthota Port, -   , -   , -   , -   , -   
2128,SCCCL CMB Terminal Pre-load WH, -   , -   , -   , -   , -   
2129,SCCCL Kadawatha Virtual WH, -   , -   , -   , -   , -   
2130,SCCCL 3RC - Watagoda, -   , -   , -   , -   , -   
2131,SCCCL Colombo Terminal Virtual, -   , -   , -   , -   , -   
2140,Puttalam Cement Works, -   , 54.5 , -   , 54.5 , (54.5)
2141,Ruhunu Cement Works, -   , -   , -   , -   , -   
2142,Tricomalee Cement Terminal, -   , -   , -   , -   , -   
2143,AFR-Puttalam Cement Works, -   , -   , -   , -   , -   
2144,Pre Processing Facility-KEPZ, -   , -   , -   , -   , -   
2145,Galle Cement Terminal, -   , -   , -   , -   , -   
2146,Colombo Cement Terminal, -   , -   , -   , -   , -   
